Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
23.31,72.5,4.717,55.2,3.0,4.9
23.4,70.3,20.8,66.34,3.51,21.83
23.4,62.4,32.6,51.4,-1.37,10.96
23.4,62.4,32.6,51.4,-1.37,10.96
23.4,70.1,27.98,59.1,5.0,14.8
23.46,78.7,11.78,64.2,-1.5,-0.9
23.6,60.0,26.2,51.72,0.22,7.52
23.63,83.1,20.06,38.9,-5.2,3.4
23.79,43.1,46.788,48.95,2.09,-8.0
23.9,66.2,15.2,65.65,1.03,12.99
24.03,70.2,19.02,70.8,6.1,15.7
24.12,70.3,50.95,51.2,-1.6,0.1
24.29,46.4,55.003,47.4,-0.6,-2.1
24.3,58.4,32.2,56.28,0.34,14.68
24.32,70.7,27.864,44.0,2.1,5.3
24.34,69.7,29.824,38.4,1.1,5.5
24.36,17.8,68.983,39.5,-1.2,4.0
24.38,66.4,23.76,45.9,1.1,0.3
24.4,59.1,21.6,56.99,-0.79,11.27
24.4,59.1,21.6,56.99,-0.79,11.27
24.45,80.2,18.91,48.6,5.0,23.0
24.45,42.3,45.601,38.26,1.16,-0.91
24.5,69.7,26.8,57.13,2.98,18.36
24.5,56.3,26.0,50.33,-0.86,9.21
24.54,46.1,40.176,27.5,0.0,-1.5
24.6,43.0,59.766,42.7,-1.0,2.7
24.65,75.5,6.311,51.7,2.4,5.6
24.7,71.1,32.4,68.69,2.62,18.19
24.73,76.4,10.72,60.5,-1.7,1.8
24.73,44.2,76.556,46.0,-1.3,3.0
24.78,73.2,31.25,44.1,0.8,0.5
24.8,55.3,17.4,72.46,-0.03,9.3
24.8,57.4,24.0,66.73,-0.54,11.53
24.9,67.2,28.96,53.2,3.4,9.2
24.92,83.2,19.47,46.3,-3.1,2.3
25.07,70.1,17.33,73.5,6.0,14.4
25.18,71.3,31.53,49.4,-1.5,3.9
25.18,80.2,18.46,52.5,2.3,13.2
25.3,63.5,23.0,53.8,-0.53,9.6
25.5,37.2,11.246,41.8,-0.5,0.0
25.58,75.8,10.65,61.1,-1.5,0.2
