DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
99.1336,5.8572,0.1284,1.1267,0.5824,46.6488,124.4472,1.5966,Interbedded sand and mud 
99.286,6.0498,0.1468,1.0801,0.7048,46.6488,124.4472,1.5966,Interbedded clay and mud
99.4384,6.0665,0.1291,1.1897,0.6059,46.6488,124.4472,1.5966,Interbedded clay and mud
99.5908,6.3981,0.1457,1.1983,0.5848,46.6488,124.4472,1.5966,Interbedded clay and mud
99.7432,6.1042,0.1454,1.1062,0.5355,46.6488,124.4472,1.5966,Interbedded sand and mud 
99.8956,6.774,0.1467,1.3135,0.5811,46.6488,124.4472,1.5966,Interbedded clay and mud
100.048,6.8324,0.1612,1.247,0.4909,46.6488,124.4472,1.5966,Interbedded clay and mud
100.2004,6.8993,0.1619,1.2643,0.486,46.6488,124.4472,1.5966,Interbedded clay and mud
100.3528,6.8559,0.1459,1.3445,0.4705,46.6488,124.4472,1.5966,Interbedded clay and mud
100.5052,7.4716,0.1422,1.5634,0.4573,46.6488,124.4472,1.5966,Interbedded clay and mud
100.6576,7.5836,0.1496,1.5559,0.4887,46.6488,124.4472,1.5966,Interbedded clay and mud
100.81,7.0396,0.1472,1.3953,0.5135,46.6488,124.4472,1.5966,Interbedded clay and mud
100.9624,7.8467,0.1478,1.6507,0.3541,46.6488,124.4472,1.5966,Interbedded clay and mud
101.1148,6.8844,0.1369,1.4062,0.3855,46.6488,124.4472,1.5966,Interbedded sand and mud 
101.2672,6.1234,0.1202,1.2599,0.4209,46.6488,124.4472,1.5966,Interbedded sand and mud 
101.4196,6.2442,0.1253,1.2685,0.3826,46.6488,124.4472,1.5966,Interbedded sand and mud 
101.572,7.0321,0.1596,1.3206,0.3395,46.6488,124.4472,1.5966,Interbedded sand and mud 
101.7244,7.2607,0.1588,1.3987,0.3502,46.6488,124.4472,1.5966,Interbedded sand and mud 
101.8768,6.9246,0.1475,1.3569,0.3811,46.6488,124.4472,1.5966,Interbedded sand and mud 
102.0292,7.1458,0.1621,1.3424,0.3993,46.6488,124.4472,1.5966,Interbedded sand and mud 
102.1816,7.2189,0.1773,1.2769,0.3844,46.6488,124.4472,1.5966,Interbedded sand and mud 
102.334,8.3159,0.1746,1.6444,0.309,46.6488,124.4472,1.5966,Interbedded clay and mud
102.4864,8.4438,0.1696,1.7143,0.305,46.6488,124.4472,1.5966,Interbedded clay and mud
102.6388,8.5165,0.1885,1.6271,0.3836,46.6488,124.4472,1.5966,Interbedded clay and mud
102.7912,9.5432,0.2105,1.8277,0.3207,46.6488,124.4472,1.5966,Interbedded clay and mud
102.9436,10.4882,0.2058,2.1583,0.2692,46.6488,124.4472,1.5966,Interbedded clay and mud
103.096,10.0741,0.1749,2.2062,0.206,46.6488,124.4472,1.5966,Interbedded clay and mud
103.2484,10.0208,0.1691,2.2233,0.1851,46.6488,124.4472,1.5966,Interbedded clay and mud
103.4008,10.0801,0.1741,2.2131,0.1608,46.6488,124.4472,1.5966,Interbedded clay and mud
103.5532,10.8525,0.2154,2.2187,0.1172,46.6488,124.4472,1.5966,Interbedded clay and mud
103.7056,10.4142,0.2008,2.1637,0.1339,46.6488,124.4472,1.5966,Interbedded clay and mud
103.858,10.1107,0.1877,2.1429,0.1633,46.6488,124.4472,1.5966,Interbedded clay and mud
104.0104,9.4847,0.2029,1.8537,0.2211,46.6488,124.4472,1.5966,Interbedded clay and mud
104.1628,9.3197,0.2008,1.8127,0.2515,46.6488,124.4472,1.5966,Interbedded clay and mud
104.3152,10.2537,0.2085,2.0671,0.1544,46.6488,124.4472,1.5966,Interbedded clay and mud
104.4676,9.5481,0.185,1.9785,0.1516,46.6488,124.4472,1.5966,Interbedded clay and mud
104.62,8.5979,0.192,1.633,0.1587,46.6488,124.4472,1.5966,Interbedded clay and mud
104.7724,9.4282,0.2262,1.6991,0.1058,46.6488,124.4472,1.5966,Interbedded clay and mud
104.9248,10.122,0.2237,1.936,0.1367,46.6488,124.4472,1.5966,Interbedded clay and mud
105.0772,9.8437,0.2037,1.9638,0.2466,46.6488,124.4472,1.5966,Interbedded clay and mud
105.2296,8.8044,0.1645,1.8602,0.2502,46.6488,124.4472,1.5966,Interbedded clay and mud
105.382,8.6182,0.1511,1.8788,0.1881,46.6488,124.4472,1.5966,Interbedded clay and mud
105.5344,8.0168,0.1439,1.728,0.1436,46.6488,124.4472,1.5966,Interbedded sand and mud 
105.6868,8.2158,0.1521,1.7438,0.1722,46.6488,124.4472,1.5966,Interbedded sand and mud 
105.8392,9.6116,0.1908,1.9648,0.1253,46.6488,124.4472,1.5966,Interbedded clay and mud
105.9916,10.6808,0.2219,2.1256,0.2308,46.6488,124.4472,1.5966,Interbedded clay and mud
106.2964,11.3498,0.2556,2.143,0.3742,46.6488,124.4472,1.5966,Interbedded clay and mud
106.4488,9.4755,0.2057,1.8341,0.4686,46.6488,124.4472,1.5966,Interbedded clay and mud
106.6012,9.0887,0.222,1.6147,0.5381,46.6488,124.4472,1.5966,Interbedded clay and mud
